gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameType,gameLabel,gameSubLabel,seriesGameNumber,seed,reboundsTeam,turnoversTeam,ot1Points,ot2Points,otAllPoints,gameDate,blocksAgainst,personalFoulsDrawn,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnoverRatio,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,teamTurnoverPercentage,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedPace,pace,pacePer40,possessions,playerImpactEstimate,pointsOffTurnovers,opponentPointsOffTurnovers,opponentPointsSecondChance,opponentPointsFastBreak,opponentPointsInPaint,percentFieldGoalAttempts2Point,percentFieldGoalAttempts3Point,percentPoints2Point,percentPoints2PointMidRange,percentPoints3Point,percentPointsFastBreak,percentPointsFreeThrow,percentPointsOffTurnovers,percentPointsInPaint,percentAssisted2PointMade,percentUnassisted2PointMade,percentAssisted3PointMade,percentUnassisted3PointMade,percentAssistedFieldGoalsMade,percentUnassistedFieldGoalsMade,freeThrowAttemptRate,opponentEffectiveFieldGoalPercentage,opponentFreeThrowAttemptRate,opponentTurnoverPercentage,opponentOffensiveReboundPercentage
12500009,2025-10-03 5:30:00,Melbourne,United,15016,New Orleans,Pelicans,1610612740,0,0.0,97,107,23.0,1.0,7.0,91.0,36.0,0.396,41.0,12.0,0.293,20.0,13.0,0.65,35.0,13.0,48.0,18.0,17.0,-10.0,240.0,24.0,27.0,28.0,18.0,39.0,1.0,7.0,2.0,7.0,23.0,38.0,12.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,2025-10-03 05:30:00,8,22,92.6,95.1,103.3,104.9,-10.8,-9.8,0.639,1.28,16.0,0.333,0.679,0.5,0.176,0.462,0.486,104.2,102.0,85.0,102,0.445,23.0,20.0,19.0,6.0,60.0,0.549,0.451,0.495,0.103,0.371,0.072,0.134,0.237,0.392,0.5,0.5,0.917,0.083,0.639,0.361,0.22,0.489,0.267,0.157,0.321
12500026,2025-10-04 20:00:00,Hapoel,Jerusalem B.C.,50014,Brooklyn,Nets,1610612751,0,0.0,88,123,18.0,2.0,10.0,77.0,28.0,0.364,29.0,6.0,0.207,37.0,26.0,0.703,25.0,13.0,38.0,17.0,13.0,-35.0,240.0,22.0,23.0,21.0,22.0,33.0,2.0,5.0,1.0,6.0,8.0,34.0,10.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,2025-10-04 20:00:00,4,28,92.4,92.6,130.8,128.1,-38.4,-35.5,0.643,1.2,14.0,0.296,0.636,0.449,0.158,0.403,0.472,94.7,95.5,79.58,95,0.323,8.0,22.0,25.0,9.0,64.0,0.623,0.377,0.5,0.114,0.205,0.068,0.295,0.091,0.386,0.591,0.409,0.833,0.167,0.643,0.357,0.481,0.661,0.184,0.156,0.364
12500011,2025-10-04 23:00:00,South East Melbourne,Phoenix,50013,New Orleans,Pelicans,1610612740,0,0.0,92,127,24.0,6.0,7.0,103.0,35.0,0.34,46.0,8.0,0.174,20.0,14.0,0.7,22.0,20.0,42.0,21.0,10.0,-35.0,240.0,21.0,34.0,20.0,17.0,39.0,0.0,7.0,0.0,5.0,14.0,48.0,21.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,2025-10-04 23:00:00,8,21,89.5,92.0,127.6,127.0,-38.1,-35.0,0.686,2.18,16.0,0.371,0.632,0.463,0.11,0.379,0.411,101.2,100.0,83.33,100,0.278,14.0,14.0,19.0,19.0,64.0,0.553,0.447,0.587,0.065,0.261,0.054,0.152,0.152,0.522,0.63,0.37,0.875,0.125,0.686,0.314,0.194,0.642,0.407,0.16,0.368
12500032,2025-10-06 20:00:00,Guangzhou,Loong-Lions,15018,San Antonio,Spurs,1610612759,0,0.0,88,119,19.0,2.0,12.0,77.0,29.0,0.377,34.0,11.0,0.324,24.0,19.0,0.792,20.0,10.0,30.0,18.0,20.0,-31.0,240.0,22.0,23.0,27.0,16.0,34.0,2.0,7.0,1.0,5.0,20.0,20.0,12.0,3.0,1.0,0.0,1.0,,,,,,,,,,,,2025-10-06 20:00:00,8,24,89.3,88.0,120.7,119.0,-31.5,-31.0,0.655,0.9,14.6,0.224,0.6,0.393,0.21,0.448,0.503,98.6,100.0,83.33,100,0.302,20.0,33.0,18.0,20.0,54.0,0.558,0.442,0.409,0.182,0.375,0.057,0.216,0.227,0.227,0.5,0.5,0.909,0.091,0.655,0.345,0.312,0.631,0.3,0.23,0.4
12500043,2025-10-09 22:30:00,Guangzhou,Loong-Lions,15018,LA,Clippers,1610612746,0,0.0,95,142,19.0,1.0,7.0,74.0,28.0,0.378,37.0,15.0,0.405,30.0,24.0,0.8,19.0,6.0,25.0,28.0,21.0,-47.0,240.0,30.0,34.0,8.0,23.0,36.0,2.0,5.0,7.0,7.0,19.0,14.0,6.0,4.0,0.0,0.0,2.0,,,,,,,,,,,,2025-10-09 22:30:00,10,28,91.2,97.9,144.9,144.9,-53.7,-47.0,0.679,0.83,14.8,0.25,0.618,0.402,0.237,0.48,0.545,101.1,97.5,81.25,97,0.206,19.0,25.0,17.0,25.0,58.0,0.5,0.5,0.274,0.126,0.474,0.074,0.253,0.2,0.147,0.538,0.462,0.8,0.2,0.679,0.321,0.405,0.753,0.301,0.163,0.382
12500055,2025-10-13 20:00:00,Guangzhou,Loong-Lions,15018,Minnesota,Timberwolves,1610612750,0,0.0,74,134,11.0,5.0,10.0,72.0,24.0,0.333,31.0,5.0,0.161,24.0,21.0,0.875,21.0,4.0,25.0,20.0,18.0,-60.0,240.0,20.0,16.0,14.0,24.0,36.0,0.0,5.0,0.0,9.0,13.0,34.0,6.0,2.0,1.0,0.0,3.0,,,,,,,,,,,,2025-10-13 20:00:00,5,19,75.9,75.5,137.2,136.7,-61.3,-61.2,0.458,0.58,9.4,0.163,0.6,0.345,0.194,0.368,0.448,97.6,98.0,81.67,98,0.168,13.0,26.0,23.0,13.0,60.0,0.569,0.431,0.514,0.054,0.203,0.122,0.284,0.176,0.459,0.421,0.579,0.6,0.4,0.458,0.542,0.333,0.705,0.265,0.173,0.4
32500004,2026-02-13 21:00:00,,Team Melo,1610616862,,Team Austin,1610616865,1,1.0,40,34,8.0,2.0,2.0,29.0,16.0,0.552,15.0,6.0,0.4,2.0,2.0,1.0,8.0,1.0,9.0,2.0,1.0,6.0,60.0,40.0,,,,7.0,8.0,10.0,5.0,5.0,8.0,14.0,2.0,5.0,5.0,1.0,0.0,,All-Star Game,Rising Stars Semifinal,Game 1,,,2.0,0.0,,,,2026-02-13 21:00:00,1,1,133.9,133.3,108.1,117.2,25.7,16.1,0.5,8.0,20.5,0.077,0.556,0.355,0.033,0.655,0.669,122.1,117.51,97.93,30,0.544,8.0,3.0,6.0,3.0,16.0,0.483,0.517,0.5,0.15,0.45,0.125,0.05,0.2,0.35,0.5,0.5,0.5,0.5,0.5,0.5,0.069,0.516,0.031,0.172,0.444
32500004,2026-02-13 21:00:00,,Team Austin,1610616865,,Team Melo,1610616862,0,0.0,34,40,11.0,1.0,1.0,32.0,14.0,0.438,12.0,5.0,0.417,1.0,1.0,1.0,11.0,6.0,17.0,1.0,5.0,-6.0,60.0,34.0,,,,13.0,4.0,6.0,5.0,3.0,3.0,16.0,6.0,5.0,5.0,0.0,1.0,,All-Star Game,Rising Stars Semifinal,Game 1,,,3.0,0.0,,,,2026-02-13 21:00:00,2,2,108.1,117.2,133.9,133.3,-25.7,-16.1,0.786,2.2,22.9,0.444,0.923,0.645,0.172,0.516,0.524,122.1,117.51,97.93,29,0.456,3.0,8.0,2.0,5.0,14.0,0.625,0.375,0.529,0.059,0.441,0.088,0.029,0.088,0.471,0.667,0.333,1.0,0.0,0.786,0.214,0.031,0.655,0.069,0.033,0.077
32500005,2026-02-13 21:55:00,,Team Vince,1610616863,,Team T-Mac,1610616864,0,1.0,41,36,9.0,2.0,2.0,32.0,15.0,0.469,18.0,6.0,0.333,7.0,5.0,0.714,13.0,4.0,17.0,2.0,2.0,5.0,64.0,41.0,,,,10.0,8.0,10.0,4.0,7.0,2.0,14.0,11.0,4.0,5.0,1.0,0.0,,All-Star Game,Rising Stars Semifinal,Game 2,,,1.0,0.0,,,,2026-02-13 21:55:00,1,4,123.9,128.1,112.9,116.1,11.0,12.0,0.6,4.5,19.6,0.263,0.684,0.474,0.063,0.563,0.584,122.8,119.06,99.21,32,0.563,2.0,3.0,4.0,11.0,10.0,0.438,0.563,0.439,0.098,0.439,0.171,0.122,0.049,0.341,0.444,0.556,0.833,0.167,0.6,0.4,0.219,0.515,0.061,0.097,0.316
32500005,2026-02-13 21:55:00,,Team T-Mac,1610616864,,Team Vince,1610616863,1,0.0,36,41,9.0,1.0,0.0,33.0,14.0,0.424,16.0,6.0,0.375,2.0,2.0,1.0,13.0,5.0,18.0,4.0,3.0,-5.0,64.0,36.0,,,,2.0,8.0,7.0,4.0,11.0,3.0,10.0,4.0,4.0,4.0,0.0,1.0,,All-Star Game,Rising Stars Semifinal,Game 2,,,2.0,0.0,,,,2026-02-13 21:55:00,2,2,112.9,116.1,123.9,128.1,-11.0,-12.0,0.643,3.0,19.6,0.316,0.737,0.526,0.097,0.515,0.531,122.8,119.06,99.21,31,0.438,3.0,2.0,11.0,7.0,14.0,0.515,0.485,0.444,0.167,0.5,0.306,0.056,0.083,0.278,0.5,0.5,0.833,0.167,0.643,0.357,0.061,0.563,0.219,0.063,0.263
